RATING,TITLE,CREDIT,BOXOFFICE,YEAR
87,Annihilation,Lena,20.7,2018
87,Jackie,Jacqueline Kennedy,14,2016
42,Jane Got a Gun,Producer     Jane Hammond,1,2016
66,Thor: The Dark World,Jane Foster,206.4,2013
77,Thor,Jane Foster,181.1,2011
28,Your Highness,Isabel,21.7,2011
49,No Strings Attached,Executive Producer     Emma,70.4,2011
85,Black Swan,Nina Sayers/The Swan Queen,107,2010
63,Brothers,Grace Cahill,28.6,2009
37,"New York, I Love You",Rifka (Mira Nair segment)     Director    Screenwriter,1.7,2009
42,The Other Boleyn Girl,Anne Boleyn,26.9,2008
38,Mr. Magorium's Wonder Emporium,Molly Mahoney,32.2,2007
69,The Darjeeling Limited,Jack's Ex-Girlfriend,12,2007
86,Paris Je T'aime,Francine,4.9,2007
73,V for Vendetta,Evey Hammond,70.6,2006
68,Closer,Alice Ayres,34,2004
86,Garden State,Sam,26.8,2004
65,Star Wars: Episode II - Attack of the Clones,Padmé Amidala,308,2002
64,Zoolander,Herself,44.8,2001
54,Star Wars: Episode I - The Phantom Menace,Queen Amidala/Padme,431.1,1999
